rot_year	rot_cycle	scenario	field	Crop	CC	GCseeded	yield_MC	C_manure	C_CC	stock	cinp
1	1	Equal	4ha	Maize	CC	.	11211	2000	0.39	conv.high	allo
2	1	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv.high	allo
3	1	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv.high	allo
4	1	Equal	4ha	Maize	.	.	11211	1680	.	conv.high	allo
5	1	Equal	4ha	Grain	.	.	4505	1870	.	conv.high	allo
1	1	Equal	7ha	Maize	CC	.	11211	2000	0.39	conv.high	allo
2	1	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv.high	allo
3	1	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv.high	allo
4	1	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv.high	allo
5	1	Equal	7ha	Grain	.	.	4505	1550	.	conv.high	allo
1	1	Equal	9ha	Grass	.	.	10167	3930	.	conv.high	allo
2	1	Equal	9ha	Grass	.	.	9195	3930	.	conv.high	allo
3	1	Equal	9ha	Grass	.	.	8597	3930	.	conv.high	allo
4	1	Equal	9ha	Grass	.	.	8447	3930	.	conv.high	allo
5	1	Equal	9ha	Grain	.	GCs	4505	1040	1.50	conv.high	allo
1	1	Equal	4ha	Maize	CC	.	11211	1650	0.39	conv.low	allo
2	1	Equal	4ha	Maize	CC	.	11211	1380	0.39	conv.low	allo
3	1	Equal	4ha	Grain	CC	.	4505	1270	1.50	conv.low	allo
4	1	Equal	4ha	Grain	.	.	4505	1270	.	conv.low	allo
5	1	Equal	4ha	Grain	.	.	4505	1540	.	conv.low	allo
1	1	Equal	7ha	Grass	.	.	10167	3230	.	conv.low	allo
2	1	Equal	7ha	Grass	.	.	9195	3230	.	conv.low	allo
3	1	Equal	7ha	Grass	.	.	8597	3230	.	conv.low	allo
4	1	Equal	7ha	Grass	.	.	8447	3230	.	conv.low	allo
5	1	Equal	7ha	Grain	.	GCs	4505	850	1.50	conv.low	allo
1	1	Equal	9ha	Maize	CC	.	11211	1650	0.39	conv.low	allo
2	1	Equal	9ha	Maize	CC	.	11211	1380	0.39	conv.low	allo
